ID,Title,Priority,Labels,Owner,Estimate,Dependencies,Scope,Acceptance Criteria
P1-01,"Add OpenAPI spec + request validation middleware",High,"backend,api,contract",Backend,3d,None,"Publish /openapi.json and enforce schema validation on all P0 endpoints.","Invalid payloads return 400 with field-level errors; /openapi.json reflects implemented routes; CI fails on schema-handler drift."
P1-02,"Add pagination + sorting to list endpoints",Medium,"backend,api,performance",Backend,2d,P1-01,"Support limit/offset/sort_by/sort_dir on waitlist, pickup events, subsidy claims, and autopay attempts list.","Deterministic default ordering; response includes count/limit/offset; invalid params return 400 with details."
P1-03,"Add idempotency keys on critical write endpoints",High,"backend,api,reliability",Backend,3d,P1-01,"Add Idempotency-Key support for pickup events, invoice generation, autopay run, subsidy claim/reconcile, and waitlist create.","Replayed requests within TTL return same logical result; duplicate rows not created; behavior documented in API contract."
P1-04,"Standardize error envelope + correlation ID",High,"backend,api,observability",Backend,2d,P1-01,"Return unified error payload and request correlation metadata.","All non-2xx include error.code/error.message/request_id; X-Request-Id returned on every response; request ID logged."
P1-05,"Add per-key rate limiting for protected API routes",Medium,"backend,security,api",Backend,2d,P1-04,"Introduce configurable rate limits by X-API-Key.","Excess requests return 429 with retry hint; /health excluded; throttle events logged with key hash and route."
P1-06,"Support dual-key API rotation window",Medium,"backend,ops,security","Backend + Ops",1.5d,P1-05,"Accept active and next API key concurrently during rotation.","Both keys work during rotation window; old key can be revoked immediately; rotation runbook updated and tested once."
P1-07,"Add automated end-to-end regression suite",High,"qa,backend,testing","QA + Backend",4d,"P1-01; P1-03","Cover pickup denied/override, invoice allocation/autopay, subsidy claim/reconcile/summary, waitlist flows, and auth gate behavior.","Suite runs in CI and blocks merge on failure; includes status and payload assertions for critical flows."
P1-08,"Add workflow freshness endpoint for ops visibility",Medium,"backend,ops,monitoring","Backend + Ops",2d,P1-07,"Expose status endpoint for critical n8n workflows with last success timestamps.","Endpoint reports per-workflow last success; flags stale workflows; daily ops script can consume red/yellow/green state."
P1-09,"Complete incident runbook and ownership matrix",Medium,"ops,runbook,incident",Ops,1d,None,"Finalize on-call and response procedures.","Runbook includes severity levels/responders/escalation path; rollback/recovery commands are copy-paste-ready; incident comms template included."
P1-10,"Add strict data normalization guardrails for Grist writes",Medium,"backend,data-quality,api",Backend,2d,P1-01,"Enforce enum/date/number normalization before write operations.","Invalid enum/date/number rejected with actionable 400; stored statuses canonicalized; backfill script provided for legacy inconsistencies."
